t,p1_x1,p1_x2,p1_v1,p1_v2,p2_x1,p2_x2,p2_v1,p2_v2,p3_x1,p3_x2,p3_v1,p3_v2
0.001,0.1432780911369665,0.0011175154866437,0.000477676231839,1.1577465574581354,1.1556933172907715,-0.0002871296002893,-0.0011019169405874,-0.2974661396513012,-1.298971408427738,-0.0008303858863544,0.0006242407087483,-0.8602804178068348
0.017,0.1433459184306667,0.0191993758812122,0.0082072165098227,1.1574622216202564,1.1555368585323151,-0.0049323749616042,-0.0189309083927487,-0.2972791796932387,-1.2988827769629845,-0.0142670009196079,0.0107236918829259,-0.8601830419270152
0.033,0.1435341620234798,0.0372502909988545,0.0159264078133823,1.156673762066303,1.155102707488313,-0.0095663158985362,-0.0367268464036469,-0.2967605907299177,-1.2986368695117974,-0.0276839751003182,0.0208004385902645,-0.8599131713363846
0.049,0.1438423540942855,0.0552624555272822,0.0236345577467725,1.1553850094707092,1.1543921522746052,-0.0141838148572926,-0.0544796887506103,-0.2959124683713812,-1.2982345063688965,-0.0410786406699895,0.0308451310038378,-0.8594725410993252
0.065,0.1442712384691387,0.0732731528365248,0.0313501916600286,1.1535958972898877,1.1534038179100898,-0.018791285049281,-0.0722238773808422,-0.2947340798714053,-1.2976750563792383,-0.0544818677872434,0.0408736857208132,-0.8588618174184756
0.081,0.14482046423508,0.091252074822275,0.0390627845280651,1.1513120702668145,1.1521389793650514,-0.0233778151046149,-0.0899273122814338,-0.2932281980910952,-1.296959443600142,-0.0678742597176595,0.0508645277533684,-0.8580838721757108
0.097,0.1454908883733474,0.1092139417113623,0.0467809548846303,1.1485352384456522,1.150596250159262,-0.0279439966417253,-0.1076023411479015,-0.291394760755406,-1.2960871385326145,-0.0812699450696368,0.060821386263271,-0.857140477690239
0.113,0.1462807646053745,0.1271063147699823,0.0544842515150145,1.1452788972794443,1.1487803442025897,-0.0324733743685845,-0.1251953623843493,-0.2892412687567404,-1.2950611088079675,-0.0946329404013977,0.0707111108693345,-0.8560376285226968
0.1290000000000001,0.1471907626794285,0.144944172589555,0.0621809466794628,1.1415474446935858,1.1466905143670505,-0.0369666666498908,-0.1427192777773767,-0.2867690237335795,-1.2938812770464874,-0.1079775059396643,0.080538331097913,-0.8547784209599941
0.1450000000000001,0.1482194052673508,0.1626979901026236,0.0698598634900592,1.137354901107044,1.1443310315556412,-0.0414133925688359,-0.1601434299832259,-0.2839855336900883,-1.2925504368230016,-0.1212845975337877,0.0902835664931665,-0.8533693674169437
0.1610000000000001,0.1493691261695496,0.1804050071485603,0.0775384336196222,1.1327000863656764,1.141697272518239,-0.0458198076477835,-0.1775028669184732,-0.2808880677556716,-1.291066398687794,-0.1345851995007763,0.0999644332988507,-0.8518120186099859
0.1770000000000001,0.1506385420780923,0.1980359070564298,0.0852050211715101,1.1275980294304275,1.1387934352223317,-0.0501755086966416,-0.1947675080233519,-0.2774845350663266,-1.289431977300425,-0.1478603983597868,0.1095624868518415,-0.8501134943640836
0.1930000000000001,0.1520274488005449,0.2155837957139034,0.0928573739664993,1.122059454977754,1.1356210601836847,-0.0544757594021578,-0.2119295074177492,-0.2737799045780642,-1.2876485089842302,-0.1611080363117442,0.1190721334512499,-0.848279550399666
0.2090000000000001,0.1535356051991155,0.2330419507807868,0.1004930080804485,1.1160956442348875,1.1321818072497798,-0.0587159034549597,-0.2289814148656309,-0.2697794584406632,-1.2857174124489,-0.1743260473258253,0.128488406785183,-0.8463161857942013
0.2250000000000001,0.1551627296089282,0.2504038296154764,0.108109212828128,1.1097183381913365,1.1284774493063967,-0.0628913691623134,-0.2459161906550117,-0.265488756907225,-1.2836401789153196,-0.1875124604531609,0.1378069778268833,-0.8442295812840892
0.2410000000000002,0.1569084963651396,0.2676630757000062,0.115703059655594,1.1029396421356277,1.124509865783768,-0.0669976735108378,-0.262727216420983,-0.2609136029829507,-1.2814183621489037,-0.2006654021891667,0.1470241567653881,-0.8420260391526521
0.2570000000000002,0.1587725324960526,0.2848135235950206,0.1232714144406935,1.095771932856801,1.1202810360249231,-0.0710304256786246,-0.2794083020243901,-0.2560600072589781,-1.279053568520968,-0.2137830979163944,0.1561368875836953,-0.8397119255977941
0.2730000000000002,0.1607544146311162,0.3018492024755377,0.1308109526470183,1.0882277696703482,1.1157930325763488,-0.0749853300029029,-0.2959536886538523,-0.250934153341641,-1.276547447207454,-0.2268638724726327,0.1651427360068332,-0.8372936163286778
0.2890000000000002,0.1628536661638017,0.3187643383149638,0.1383181767470806,1.0803198102363718,1.111048014458419,-0.0788581884154735,-0.3123580483651329,-0.2455423642463965,-1.2739016806222043,-0.2399061498994877,0.1740398716180508,-0.834777445989943
0.3050000000000002,0.165069754700129,0.3355533547983989,0.1457894353238681,1.0720607319415465,1.1060482204691549,-0.0826449023635499,-0.3286164803089299,-0.2398910700806603,-1.2711179751692665,-0.2529084524348444,0.1828270449850609,-0.8321696618608544
0.3210000000000002,0.1674020898145095,0.3522108730567713,0.1532209432736527,1.0634631594237018,1.100795962570868,-0.0863414742383373,-0.3447245039261434,-0.2339867772925914,-1.268198052385357,-0.2658693988184297,0.1915035606524896,-0.8294763821310779
0.3370000000000002,0.1698500211257557,0.3687317103209664,0.1606088025636875,1.0545395986341608,1.095293619404687,-0.0899440083376283,-0.3606780494086243,-0.2278360397150353,-1.265143640530421,-0.2787877019833352,0.2000692468449365,-0.8267035589190944
0.3530000000000002,0.1724128366979495,0.3851108775998806,0.1679490230426641,1.0453023776634127,1.089543629973211,-0.0934487113919001,-0.376473445734149,-0.2214454315867519,-1.2619564666711371,-0.2916621662079773,0.2085244226914843,-0.8238569460766312
0.3690000000000002,0.1750897617634099,0.4013435764886792,0.1752375428559162,1.03576359440365,1.0835484875267238,-0.096851892685882,-0.3921074065874652,-0.2148215226878579,-1.2586382492901125,-0.3044916838027945,0.2168698637315476,-0.8209420717157612
0.3850000000000003,0.1778799577584976,0.4174251952136146,0.1824702480778266,1.0259350709892063,1.0773107336835153,-0.1001499638093707,-0.4075770144757473,-0.207970855684035,-1.255190691441994,-0.3172752314042404,0.2251067663979182,-0.8179642153051385
0.4010000000000003,0.180782521657431,0.4333513040179391,0.1896429912375229,1.0158283148441674,1.0708329528101337,-0.1033394380722276,-0.4228797033375536,-0.2008999257352442,-1.2516154744675478,-0.330011865945707,0.2332367121000299,-0.8149283891088879
0.4170000000000003,0.1837964855847415,0.4491176499900398,0.1967516084780058,1.00545448607533,1.0641177666828223,-0.1064169296190917,-0.4380132399305265,-0.1936151623898251,-1.2479142522675497,-0.3427007203709442,0.2412616314525189,-0.8118393236854705
0.4330000000000003,0.1869208166834272,0.4647201514302788,0.2037919351509862,0.9948243708776676,1.057167829447076,-0.1093791522794226,-0.4529757042654541,-0.186122913754361,-1.2440886461304896,-0.3553409991508534,0.2491837691144668,-0.808701457123274
0.4490000000000003,0.1901544172132415,0.4801548918473747,0.2107598197081346,0.9839483605670608,1.0499858228882524,-0.1122229181881268,-0.4677654693341005,-0.1784294329035634,-1.2401402401014758,-0.367931973659245,0.2570056496259657,-0.8055189276634643
0.4650000000000003,0.1934961248518101,0.495418113668866,0.2176511358028639,0.9728364358196286,1.042574452022461,-0.1149451362112885,-0.4823811803559544,-0.1705408664726608,-1.2360705768742537,-0.3804729774575742,0.2647300445530907,-0.802295569346934
0.4810000000000003,0.1969447131702972,0.5105062117434717,0.2244617925642831,0.9614981556765628,1.0349364410136073,-0.1175428102104891,-0.496821733745881,-0.1624632453572547,-1.2318811541838883,-0.3929634015329803,0.2723599411815981,-0.7990349103192728
0.4970000000000004,0.2004988922550824,0.525415726706174,0.2311877430461151,0.9499426508657216,1.027074529419584,-0.1200130371779109,-0.5110862559809655,-0.1542024774319867,-1.227573421674648,-0.4054026895282588,0.2798985129348543,-0.7957401734336981
0.5130000000000003,0.2041573094472185,0.5401433382698106,0.237824990888004,0.9381786209943958,1.0189914687678854,-0.1223530052729547,-0.5251740825213422,-0.1457643421894508,-1.2231487782150874,-0.4177903329968525,0.2873490916333416,-0.7924142788049119
0.5290000000000004,0.2079185501723249,0.5546858585005132,0.2443695952551213,0.9262143351791916,1.010690019458678,-0.1245599917895595,-0.5390847369172193,-0.1371544871938631,-1.218608569630987,-0.4301258667109489,0.2947151416621016,-0.7890598479852927
0.5450000000000004,0.2117811388345968,0.5690402251267009,0.250817674143839,0.9140576356981562,1.002172947991771,-0.1266313610815929,-0.5528179102117399,-0.1283784262406909,-1.213954086826356,-0.4424088640451031,0.3020002360679037,-0.7856792094574315
0.5610000000000004,0.2157435397503479,0.5832034949262598,0.2571654061585008,0.9017159442732045,0.993443024511925,-0.1285645624721483,-0.5663734407296411,-0.1194415391114817,-1.2091865642622648,-0.4546389324541068,0.3092080345711435,-0.7822744051616893
0.5770000000000004,0.2198041580980982,0.5971728372298369,0.2634090308758168,0.8891962706184164,0.984503020665964,-0.1303571281707451,-0.5797512943220245,-0.1103490728142712,-1.2043071787640456,-0.4668157090590847,0.3163422634462107,-0.7788471978041135
0.5930000000000004,0.2239665970627452,0.6109626192691481,0.2695524487018431,0.8764892545027622,0.975344145049304,-0.1320086426770669,-0.5929679343532303,-0.1010944984812119,-1.1993107421120308,-0.4789539765920731,0.3234154856513917,-0.7753947560215192
0.6090000000000004,0.2282187514367926,0.6245357825228762,0.2755766740953896,0.8636328488107842,0.9659920385801984,-0.1335126718785622,-0.6059905244033182,-0.0917059193786066,-1.1942107900169725,-0.4910231106443049,0.3304138503079322,-0.7719269294321471
0.6250000000000004,0.2325639910286451,0.6379071359095682,0.2814858573917184,0.8506171377089686,0.9564381622387048,-0.1348691363416252,-0.6188359108610965,-0.0821767439670133,-1.1890021532673298,-0.5030379995679315,0.3373500534693804,-0.7684403937419274
0.6410000000000005,0.2370004935324176,0.6510742374762206,0.2872764619163299,0.8374476021561218,0.9466852782046528,-0.1360758799918751,-0.6315043828393221,-0.0725117264687052,-1.183685771737057,-0.5149983574843315,0.3442279209229964,-0.7649358756873893
0.6570000000000005,0.2415263818357539,0.6640347280540552,0.2929449970138258,0.8241293771974244,0.9367361438381888,-0.1371308200694223,-0.6439962663528135,-0.0627155132258237,-1.1782625256739276,-0.5269039079846198,0.3510512693389898,-0.7614138639715738
0.6730000000000005,0.2461397246958825,0.6767863259876131,0.2984880125826823,0.8106672681381593,0.926593511232778,-0.1380319455077142,-0.6563119079140316,-0.0527926507658052,-1.172733235928643,-0.5387543804798856,0.3578238953313493,-0.7578746173723261
0.6890000000000005,0.2508385373259827,0.6893268221206337,0.3039020930602926,0.7970657672670787,0.916260127019808,-0.1387773154448418,-0.6684516586790047,-0.0427475947075647,-1.1670986643457724,-0.5505495066757777,0.3645495656187147,-0.7543181725594845
0.7050000000000005,0.255620781884125,0.7016540750462007,0.309183850964536,0.7833290709941171,0.9057387324163844,-0.1393650578799022,-0.680415859118784,-0.0325847194400657,-1.1613595143004938,-0.5622890171662807,0.3712320081542465,-0.7507443515540229
0.7210000000000005,0.2604843678586628,0.7137660066267404,0.3143299200915159,0.7694610972894734,0.8950320635083258,-0.1397933684859528,-0.6922048241861621,-0.0223083285106924,-1.1555164313669777,-0.573972638140765,0.3778749040946428,-0.7471527687787545
0.7370000000000005,0.2654271523454159,0.7256605977877938,0.319336948462356,0.7554655033314809,0.884142851760941,-0.1400605095901917,-0.7038188289432069,-0.0119226656661652,-1.1495700041063428,-0.5856000881975789,0.3844818804808461,-0.7435428376652894
0.7530000000000006,0.2704469402134445,0.7373358845882302,0.3242015911055723,0.741345703288974,0.8730738247506427,-0.1401648093311156,-0.7152580946117384,-0.0014319264934819,-1.1435207649640695,-0.5971710752570909,0.3910565035061625,-0.7399137767954674
